Reference	Genotype	Phenotype
KF513180.1.gene1.p1	beta-lactam__CTX-M-147	beta-lactam
KF515536.1.gene1.p01	beta-lactam__ACT-23	beta-lactam
KF526113.1.gene1.p01	beta-lactam__CMY-100	beta-lactam
KF526114.1.gene1.p01	beta-lactam__CMY-74	beta-lactam
KF526115.1.gene1.p01	beta-lactam__CMY-102	beta-lactam
KF526116.1.gene1.p01	beta-lactam__CMY-103	beta-lactam
KF526117.1.gene1.p01	beta-lactam__ACT-20	beta-lactam
KF526118.1.gene1.p01	beta-lactam__ACT-21	beta-lactam
KF663615.1.gene1.p1	beta-lactam__TEM-213	beta-lactam
KF705208.1.gene1.p1	beta-lactam__SHV-179	beta-lactam
KF705209.1.gene1.p1	beta-lactam__SHV-178	beta-lactam
KF823969.1.gene1.p01	vancomycin__vanR	vancomycin
KF823969.1.gene2.p01	vancomycin__vanS	vancomycin
KF823969.1.gene3.p01	vancomycin__vanY	vancomycin
KF823969.1.gene4.p01	vancomycin__vanW	vancomycin
KF823969.1.gene6.p01	vancomycin__vanB	vancomycin
KF885217.1.gene1.p01	beta-lactam__OXA-365	beta-lactam
KF900153.1.gene1.p01	beta-lactam__OXA-370	beta-lactam
KF944358.1.gene1.p01	beta-lactam__TEM-216	beta-lactam
KF958750.1.gene1.p01	beta-lactam__IMI-4	beta-lactam
KF986253.1.gene1.p01	beta-lactam__OXA-385	beta-lactam
KF986254.1.gene1.p01	beta-lactam__OXA-386	beta-lactam
KF986255.1.gene1.p01	beta-lactam__OXA-374	beta-lactam
KF986256.1.gene1.p01	beta-lactam__OXA-375	beta-lactam
KF986257.1.gene1.p01	beta-lactam__OXA-376	beta-lactam
KF986258.1.gene1.p01	beta-lactam__OXA-377	beta-lactam
KF986259.1.gene1.p01	beta-lactam__OXA-378	beta-lactam
KF986260.1.gene1.p01	beta-lactam__OXA-379	beta-lactam
KF986261.1.gene1.p01	beta-lactam__OXA-380	beta-lactam
KF986262.1.gene1.p01	beta-lactam__OXA-383	beta-lactam
KF986263.1.gene1.p01	beta-lactam__OXA-384	beta-lactam
KF992029.1.gene1.p01	beta-lactam__ACT-19	beta-lactam
KJ020573.1.gene1.p01	beta-lactam__CTX-M-55	beta-lactam
KJ020574.1.gene1.p01	beta-lactam__CTX-M-65	beta-lactam
KJ135342.1.gene1.p01	beta-lactam__OXA-390	beta-lactam
KJ135343.1.gene1.p01	beta-lactam__OXA-388	beta-lactam
KJ135344.1.gene1.p01	beta-lactam__OXA-381	beta-lactam
KJ135345.1.gene1.p01	beta-lactam__OXA-382	beta-lactam
KJ155695.1.gene1.p01	beta-lactam__CMY-111	beta-lactam
KJ173478.1.gene1.p01	beta-lactam__OXA-387	beta-lactam
KJ188748.1.gene1.p01	beta-lactam__SME-5	beta-lactam
KJ363320.1.gene3.p01	aminoglycoside__aadA	aminoglycoside
KJ427797.1.gene1.p01	beta-lactam__OXA-391	beta-lactam
KJ461948.1.gene1.p1	beta-lactam__CTX-M-152	beta-lactam
L06156.1.gene1.p01	aminoglycoside__aac(2)-I	aminoglycoside
L06157.1.gene1.p01	aminoglycoside__aac(3)-I	aminoglycoside
L06160.1.gene1.p01	aminoglycoside__aac(3)-IIIa	aminoglycoside
L06161.1.gene1.p01	aminoglycoside__aac(3)-IIIa	aminoglycoside
L06163.1.gene1.p01	aminoglycoside__aac(6)-II	aminoglycoside
L06798.gene.p01	tetracycline__tetD	tetracycline
L06940.gene.p01	tetracycline__tetE	tetracycline
L07778.gene.p01	macrolide-lincosamide-streptogramin__vatA	macrolide-lincosamide-streptogramin
L07945.1.gene1.p01	beta-lactam__OXA-3	beta-lactam
L09246.1.gene1.p01	aminoglycoside__aac(6)-I	aminoglycoside
L09756.gene.p01	tetracycline__tetS	tetracycline
L12710.gene.p01	aminoglycoside__aac(6)-I	aminoglycoside
L20800.gene.p01	tetracycline__tetP	tetracycline
L22689.1.gene1.p01	macrolide-lincosamide-streptogramin__ermA	macrolide-lincosamide-streptogramin
L29044.1.gene1.p01	aminoglycoside__aac(6)-I	aminoglycoside
L29045.1.gene1.p01	aminoglycoside__aac(6)-I	aminoglycoside
L29510.1.gene1.p01	aminoglycoside__aac(6)-I	aminoglycoside
L42544.gene.p01	tetracycline__tetT	tetracycline
M11036.gene.p01	tetracycline__tetL	tetracycline
M11587.1.gene1.p1	chloramphenicol__catA	chloramphenicol
M14039.gene.p01	macrolide-lincosamide-streptogramin__lnuA	macrolide-lincosamide-streptogramin
M14730.gene.p01	macrolide-lincosamide-streptogramin__ermF	macrolide-lincosamide-streptogramin
M15332.gene.p01	macrolide-lincosamide-streptogramin__ermG	macrolide-lincosamide-streptogramin
M16217.gene.p01	tetracycline__tetracycline_resistance_protein	tetracycline
M20129.gene.p01	macrolide-lincosamide-streptogramin__vgbA	macrolide-lincosamide-streptogramin
M20305.1.gene1.p1	aminoglycoside__aph(3)-I	aminoglycoside
M22126.1.gene1.p01	aminoglycoside__aph(3)-I	aminoglycoside
M22614.1.gene1.p1	chloramphenicol__chloramphenicol exporter	chloramphenicol
M22999.1.gene2.p01	aminoglycoside__aac(3)-VII	aminoglycoside
M23634.1.gene1.p1	aminoglycoside__aac(6)-I	aminoglycoside
M26879.gene.p01	aminoglycoside__aadK	aminoglycoside
M27459.1.gene1.p01	beta-lactam__OXY-1	beta-lactam
M29695.1.gene2.p01	aminoglycoside__aac(6)-II	aminoglycoside
M29832.gene.p01	macrolide-lincosamide-streptogramin__ermA	macrolide-lincosamide-streptogramin
M29953.1.gene1.p1	aminoglycoside__aph(3)-VII	aminoglycoside
M35190.gene.p01	chloramphenicol__cat_chloramphenicol acetyltransferase	chloramphenicol
M36726.gene.p01	macrolide-lincosamide-streptogramin__ermX	macrolide-lincosamide-streptogramin
M37699.gene1.p01	tetracycline__tetX	tetracycline
M37839.2.gene1.p01	beta-lactam__MIR-1	beta-lactam
M55426.1.gene1.p01	aminoglycoside__aac(3)-VIII	aminoglycoside
M55427.1.gene1.p01	aminoglycoside__aac(3)-IX	aminoglycoside
M55620.gene.p01	chloramphenicol__catQ	chloramphenicol
M57437.gene.p01	macrolide-lincosamide-streptogramin__tlcC	macrolide-lincosamide-streptogramin
M58472.1.gene1.p01	chloramphenicol__cat_chloramphenicol acetyltransferase	chloramphenicol
M58515.1.gene2.p01	chloramphenicol__cat_chloramphenicol acetyltransferase	chloramphenicol
M58516.1.gene2.p01	chloramphenicol__cat_chloramphenicol acetyltransferase	chloramphenicol
M60253.gene.p01	beta-lactam__class A beta-lactamase	beta-lactam
M63556.1.gene1.p01	beta-lactam__ccrA	beta-lactam
M64090.gene.p01	macrolide-lincosamide-streptogramin__ermT	macrolide-lincosamide-streptogramin
M64281.gene.p01	chloramphenicol__catP	chloramphenicol
M80346.gene.p01	carbomycin__carA	carbomycin
M85225.gene.p01	tetracycline__tetM	tetracycline
M88012.1.gene2.p01	aminoglycoside__aac(3)-VI	aminoglycoside
M90091.1.gene2.p01	chloramphenicol__cat_chloramphenicol acetyltransferase	chloramphenicol
M93113.gene.p01	chloramphenicol__catB	chloramphenicol
M94066.1.gene1.p01	aminoglycoside__aac(6)-I	aminoglycoside
M97172.1.gene1.p01	aminoglycoside__aac(3)-II	aminoglycoside
M98270.1.orf0.gene.p01	aminoglycoside__ant(4)-IIa	aminoglycoside
NC_002096.2598307.p01	chloramphenicol__cat_chloramphenicol acetyltransferase	chloramphenicol
NC_002516.2.877851.p01	multidrug__oprM	multidrug
NC_002516.2.877852.p01	multidrug__mexB	multidrug
NC_002516.2.877855.p01	multidrug__mexA	multidrug
NC_002516.2.880183.p01	tetracycline__tetR	tetracycline
NC_002516.2.880212.p01	multidrug__mexE	multidrug
NC_002516.2.880346.p01	multidrug__mexI	multidrug
NC_002516.2.880362.p01	tetracycline__tetR	tetracycline
NC_002516.2.880417.p01	multidrug__mexT	multidrug
NC_002516.2.880450.p01	multidrug__mexH	multidrug
NC_002516.2.881070.p01	multidrug__oprJ	multidrug
NC_002516.2.881071.p01	multidrug__mexD	multidrug
NC_002516.2.881078.p01	multidrug__mexC	multidrug
NC_002516.2.882884.p01	multidrug__mexF	multidrug
NC_002516.2.882885.p01	multidrug__oprN	multidrug
NC_002695.1.912329.p01	multidrug__mdtK	multidrug
NC_002695.1.912474.p01	multidrug__mdtH	multidrug
NC_002695.1.912777.p01	multidrug__acrB	multidrug
NC_002695.1.912781.p01	multidrug__acrA	multidrug
NC_002695.1.912965.p01	unclassified__sdiA	unclassified
NC_002695.1.913113.p01	unclassified__DNA-binding_protein_H-NS	unclassified
NC_002695.1.913273.p01	multidrug__emrE	multidrug
NC_002695.1.914619.p01	multidrug__acrB	multidrug
NC_002695.1.914620.p01	multidrug__acrA	multidrug
NC_002695.1.914736.p01	multidrug__emrB	multidrug
NC_002695.1.914737.p01	multidrug__emrA	multidrug
NC_002695.1.914983.p01	unclassified__histidine kinase	unclassified
NC_002695.1.915390.p01	multidrug__mdtL	multidrug
NC_002695.1.915420.p01	multidrug__emrD	multidrug
NC_002695.1.915650.p01	unclassified__histidine kinase	unclassified
NC_002695.1.915653.p01	multidrug__emrK	multidrug
NC_002695.1.915747.p01	unclassified__DNA-binding transcriptional regulator gadX	unclassified
NC_002695.1.915750.p01	multidrug__mdtE	multidrug
NC_002695.1.916015.p01	multidrug__mexX	multidrug
NC_002695.1.916248.p01	multidrug__TolC	multidrug
NC_002695.1.916584.p01	multidrug__mdtA	multidrug
NC_002695.1.916585.p01	multidrug__mdtB	multidrug
NC_002695.1.916586.p01	multidrug__mdtC	multidrug
NC_002695.1.916587.p01	multidrug__mdtD	multidrug
NC_002695.1.916588.p01	unclassified__histidine kinase	unclassified
NC_002695.1.917702.p01	macrolide-lincosamide-streptogramin__macA	macrolide-lincosamide-streptogramin
NC_002745.1122813.p01	beta-lactam__mecR1	beta-lactam
NC_002745.1122814.p01	beta-lactam__mecI	beta-lactam
NC_002745.1123457.p01	multidrug__norA	multidrug
NC_002745.1124031.p01	beta-lactam__fmtC	beta-lactam
NC_002745.1124085.p01	unclassified__histidine kinase	unclassified
NC_002745.1124086.p01	unclassified__truncated putative response regulator ArlR	unclassified
NC_002745.1125051.p01	fosfomycin__fosB	fosfomycin
NC_002745.3251084.p01	unclassified__truncated putative response regulator ArlR	unclassified
NC_002758.1119995.p01	bleomycin__bleO	bleomycin
NC_002758.1120003.p01	beta-lactam__mecI	beta-lactam
NC_002758.1120355.p01	tetracycline__tetM	tetracycline
NC_002758.1121879.p01	multidrug__multidrug_ABC_transporter	multidrug
NC_002758.1122191.p01	multidrug__major_facilitator_superfamily_transporter	multidrug
NC_002758.1122377.p01	multidrug__major_facilitator_superfamily_transporter	multidrug
NC_002951.3236764.p01	beta-lactam__mecR1	beta-lactam
NC_002951.3237419.p01	multidrug__EmrB-QacA family major facilitator transporter	multidrug
NC_002951.3237855.p01	multidrug__marR	multidrug
NC_002951.3237948.p01	multidrug__EmrB-QacA family major facilitator transporter	multidrug
NC_002951.3238155.p01	multidrug__EmrB-QacA family major facilitator transporter	multidrug
NC_002951.3238224.p01	unclassified__truncated putative response regulator ArlR	unclassified
NC_002952.2859165.p01	multidrug__norA	multidrug
NC_002952.2859362.p01	multidrug__major_facilitator_superfamily_transporter	multidrug
NC_002952.2859859.p01	unclassified__histidine kinase	unclassified
NC_002952.2860313.p01	tetracycline__tetB	tetracycline
NC_002952.2860680.p01	fosfomycin__fosB	fosfomycin
NC_002952.2861158.p01	beta-lactam__mecI	beta-lactam
NC_003140.1122765.p01	beta-lactam__blaZ	beta-lactam
NC_003923.1003359.p01	beta-lactam__fmtC	beta-lactam
NC_005011.2598316.p01	beta-lactam__blaZ	beta-lactam
NC_005127.2610354.p01	beta-lactam__class A beta-lactamase	beta-lactam
NC_006663.1.orf0.gene.p01	aminoglycoside__aadE	aminoglycoside
NC_007209.3523503.p01	macrolide-lincosamide-streptogramin__ermC	macrolide-lincosamide-streptogramin
NC_007622.3793623.p01	multidrug__norA	multidrug
NC_007622.3794949.p01	unclassified__histidine kinase	unclassified
NC_007792.3912746.p01	macrolide-lincosamide-streptogramin__ermC	macrolide-lincosamide-streptogramin
NC_007793.3912797.p01	beta-lactam__fmtC	beta-lactam
NC_007793.3913346.p01	multidrug__EmrB-QacA family major facilitator transporter	multidrug
NC_008702.1.4606267.p01	multidrug__major_facilitator_superfamily_transporter	multidrug
NC_008702.1.4606278.p01	multidrug__oprM	multidrug
NC_008702.1.4607594.p01	multidrug__ompR	multidrug
NC_008702.1.4607681.p01	multidrug__oprM	multidrug
NC_008702.1.4608023.p01	multidrug__emrE	multidrug
NC_008702.1.4608931.p01	multidrug__oprM	multidrug
NC_008702.1.4609191.p01	macrolide-lincosamide-streptogramin__macA	macrolide-lincosamide-streptogramin
NC_009085.4918440.p01	tetracycline__tetA	tetracycline
NC_009085.4918693.p01	multidrug__multidrug_transporter	multidrug
NC_009085.4918695.p01	multidrug__adeK	multidrug
NC_009085.4918988.p01	multidrug__marR	multidrug
NC_009085.4919117.p01	multidrug__adeB	multidrug
NC_009085.4919118.p01	multidrug__adeA	multidrug
NC_009085.4919119.p01	multidrug__adeA	multidrug
NC_009487.5169637.p01	multidrug__major_facilitator_superfamily_transporter	multidrug
NC_009487.5169896.p01	multidrug__EmrB-QacA family major facilitator transporter	multidrug
NC_009641.5331418.p01	multidrug__EmrB-QacA family major facilitator transporter	multidrug
NC_009838.1.5616789.p01	tetracycline__tetA	tetracycline
NC_009838.1.5616796.p01	aminoglycoside__aac(3)-VI	aminoglycoside
NC_010063.5774822.p01	beta-lactam__blaZ	beta-lactam
NC_010066.5774791.p01	beta-lactam__blaZ	beta-lactam
NC_010079.5775297.p01	beta-lactam__mecR1	beta-lactam
NC_010400.5984123.p01	multidrug__mdfA	multidrug
NC_010400.5984250.p01	unclassified__histidine kinase	unclassified
NC_010400.5984384.p01	multidrug__adeC	multidrug
NC_010400.5984386.p01	multidrug__multidrug_transporter	multidrug
NC_010400.5984909.p01	multidrug__multidrug_ABC_transporter	multidrug
NC_010400.5984910.p01	multidrug__mexE	multidrug
NC_010400.5986590.p01	multidrug__ompR	multidrug
NC_010400.5987140.p01	multidrug__TolC	multidrug
NC_010410.6000500.p01	multidrug__mdfA	multidrug
NC_010410.6000672.p01	unclassified__histidine kinase	unclassified
NC_010410.6000769.p01	multidrug__adeC	multidrug
NC_010410.6001699.p01	tetracycline__tetR	tetracycline
NC_010410.6002639.p01	multidrug__major_facilitator_superfamily_transporter	multidrug
NC_010410.6002906.p01	multidrug__adeA	multidrug
NC_010410.6003052.p01	rifamycin__ADP-ribosylating transferase_arr	rifamycin
NC_010410.6003262.p01	multidrug__emrB	multidrug
NC_010410.6003291.p01	tetracycline__tetA	tetracycline
NC_010410.6003348.p01	multidrug__abeS	multidrug
NC_010410.6003655.p01	multidrug__TolC	multidrug
NC_010426.6155849.p01	chloramphenicol__cat_chloramphenicol acetyltransferase	chloramphenicol
NC_010558.1.6275948.p01	quinolone__qepA	quinolone
NC_010558.1.6275958.p01	aminoglycoside__rmtB	aminoglycoside
NC_010558.1.6275977.p01	tetracycline__tetC	tetracycline
NC_010558.1.6275994.p01	aminoglycoside__aadA	aminoglycoside
NC_010558.1.6276004.p01	chloramphenicol__cat_chloramphenicol acetyltransferase	chloramphenicol
NC_010558.1.6276115.p01	sulfonamide__sul1	sulfonamide
NC_010686.6295746.p01	macrolide-lincosamide-streptogramin__ermC	macrolide-lincosamide-streptogramin
NC_011035.1.6447343.p01	macrolide-lincosamide-streptogramin__macA	macrolide-lincosamide-streptogramin
NC_011035.1.6447745.p01	multidrug__mtrR	multidrug
NC_011035.1.6447920.p01	unclassified__DNA-binding_protein_H-NS	unclassified
NC_011035.1.6448920.p01	multidrug__mdtK	multidrug
NC_011035.1.6449630.p01	multidrug__mtrE	multidrug
NC_011586.7043399.p01	tetracycline__tetA	tetracycline
NC_011586.7043679.p01	tetracycline__tetR	tetracycline
NC_011586.7045179.p01	sulfonamide__sul1	sulfonamide
NC_011586.7045189.p01	tetracycline__tetA	tetracycline
NC_011586.7045208.p01	sulfonamide__sul1	sulfonamide
NC_011586.7045443.p01	multidrug__multidrug_transporter	multidrug
NC_011586.7045444.p01	multidrug__adeJ	multidrug
NC_011586.7045445.p01	multidrug__adeK	multidrug
NC_011586.7046327.p01	multidrug__ompR	multidrug
NC_011586.7046328.p01	unclassified__histidine kinase	unclassified
NC_011586.7046389.p01	multidrug__adeC	multidrug
NC_011586.7046390.p01	multidrug__adeB	multidrug
NC_011586.7046391.p01	multidrug__adeA	multidrug
NC_011586.7046576.p01	multidrug__multidrug_transporter	multidrug
NC_011595.7057907.p01	multidrug__mexB	multidrug
NC_011595.7058144.p01	multidrug__TolC	multidrug
NC_011595.7058613.p01	macrolide-lincosamide-streptogramin__macA	macrolide-lincosamide-streptogramin
NC_011595.7058890.p01	multidrug__oprM	multidrug
NC_011595.7059241.p01	tetracycline__tetA	tetracycline
NC_011595.7059912.p01	multidrug__mexT	multidrug
NC_011595.7060378.p01	multidrug__mdtK	multidrug
NC_011595.7060598.p01	multidrug__mdtL	multidrug
NC_012469.1.7687230.p01	multidrug__mdtG	multidrug
NP_040462	macrolide-lincosamide-streptogramin__ermC	macrolide-lincosamide-streptogramin
NP_044301	aminoglycoside__aph(3)-I	aminoglycoside
NP_044444	chloramphenicol__chloramphenicol exporter	chloramphenicol
NP_266279	multidrug__multidrug_transporter	multidrug
NP_268322	macrolide-lincosamide-streptogramin__lmrP	macrolide-lincosamide-streptogramin
NP_286651	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin
NP_287199	multidrug__mdtH	multidrug
NP_288765	multidrug__bicyclomycin-multidrug_efflux_protein_bcr	multidrug
NP_289632	bacitracin__bacA	bacitracin
NP_290094	multidrug__mdtF	multidrug
NP_290714	multidrug__mdtO	multidrug
NP_290715	multidrug__mdtN	multidrug
NP_337994	quinolone__mfpA	quinolone
NP_348075	tetracycline__tetP	tetracycline
NP_348076	tetracycline__tetP	tetracycline
NP_357898	beta-lactam__PBP-2X	beta-lactam
NP_387454	tetracycline__tetA	tetracycline
NP_390536	multidrug__multidrug_transporter	multidrug
NP_455432	macrolide-lincosamide-streptogramin__macB	macrolide-lincosamide-streptogramin
NP_455648	multidrug__mdtG	multidrug
NP_455659	multidrug__mdtH	multidrug
NP_456779	multidrug__bicyclomycin-multidrug_efflux_protein_bcr	multidrug
NP_459470	multidrug__acrB	multidrug
NP_459471	multidrug__acrA	multidrug
NP_459843	multidrug__mdfA	multidrug
NP_460125	multidrug__mdtG	multidrug
NP_460137	multidrug__mdtH	multidrug
NP_461165	multidrug__bicyclomycin-multidrug_efflux_protein_bcr	multidrug
NP_462120	bacitracin__bacA	bacitracin
NP_462699	multidrug__emrD	multidrug
NP_511233	tetracycline__tetC	tetracycline
NP_521874	multidrug__mexC	multidrug
NP_536537	rifamycin__rifampin resistance protein	rifamycin
NP_625085	tetracycline__tetM	tetracycline
NP_630197	macrolide-lincosamide-streptogramin__ermO	macrolide-lincosamide-streptogramin
NP_630216	fusidic-acid__fusH	fusidic-acid
NP_631702	chloramphenicol__chloramphenicol exporter	chloramphenicol
NP_645462	bacitracin__bacA	bacitracin
NP_671620	rifamycin__rifampin resistance protein	rifamycin
NP_706355	multidrug__acrB	multidrug
NP_706356	multidrug__acrA	multidrug
NP_706721	multidrug__mdfA	multidrug
NP_706986	multidrug__mdtH	multidrug
NP_708081	multidrug__bicyclomycin-multidrug_efflux_protein_bcr	multidrug
NP_708846	multidrug__TolC	multidrug
NP_709488	multidrug__mdtL	multidrug
NP_709856	multidrug__mdtO	multidrug
NP_709857	multidrug__mdtN	multidrug
NP_733568	tetracenomycin_C__tcmA	tetracenomycin_C
NP_743067	multidrug__mexW	multidrug
NP_744962	multidrug__amrB	multidrug
NP_745006	bacitracin__bacA	bacitracin
NP_745564	multidrug__mexF	multidrug
NP_752514	multidrug__acrB	multidrug
NP_752857	multidrug__mdfA	multidrug
NP_753232	multidrug__mdtG	multidrug
NP_754605	multidrug__bicyclomycin-multidrug_efflux_protein_bcr	multidrug
NP_755652	multidrug__TolC	multidrug
NP_756186	multidrug__mdtE	multidrug
NP_756458	multidrug__emrD	multidrug
NP_756491	multidrug__mdtL	multidrug
NP_756937	multidrug__mdtO	multidrug
NP_756938	multidrug__mdtN	multidrug
NP_764009	bacitracin__bacA	bacitracin
NP_765163	beta-lactam__class A beta-lactamase	beta-lactam
NP_783299	multidrug__multidrug_transporter	multidrug
NP_792892	multidrug__mexF	multidrug
NP_815950	vancomycin__vanX	vancomycin
NP_815953	vancomycin__vanW	vancomycin
NP_815955	vancomycin__vanS	vancomycin
NP_815956	vancomycin__vanR	vancomycin
NP_826974	tetracenomycin_C__tcmA	tetracenomycin_C
NP_831165	bacitracin__bacA	bacitracin
NP_831795	fosfomycin__fosB	fosfomycin
NP_832233	beta-lactam__class A beta-lactamase	beta-lactam
NP_833174	beta-lactam__class A beta-lactamase	beta-lactam
NP_836133	multidrug__acrB	multidrug
NP_840140	bacitracin__bacA	bacitracin
NP_843860	bacitracin__bacA	bacitracin
NP_862291	tetracycline__tetM	tetracycline
NP_862543	macrolide-lincosamide-streptogramin__ermT	macrolide-lincosamide-streptogramin
NP_863005	aminoglycoside__aac(6)-I	aminoglycoside
NP_863621	aminoglycoside__aadD	aminoglycoside
NP_878013	vancomycin__vanR	vancomycin
NP_878015	vancomycin__vanH	vancomycin
NP_878016	vancomycin__vanA	vancomycin
NP_934523	multidrug__mdtK	multidrug
NP_940280	sulfonamide__sul1	sulfonamide
NP_940746	macrolide-lincosamide-streptogramin__ermX	macrolide-lincosamide-streptogramin
NP_955645	aminoglycoside__aph(6)-I	aminoglycoside
NP_958729	tetracycline__tetA	tetracycline
NP_977823	bacitracin__bacA	bacitracin
NP_978424	fosfomycin__fosB	fosfomycin
NP_979752	beta-lactam__class A beta-lactamase	beta-lactam
O31817	fosfomycin__fosB	fosfomycin
O35018	macrolide-lincosamide-streptogramin__lmrB	macrolide-lincosamide-streptogramin
O87866	multidrug__qacG	multidrug
P00383	trimethoprim__dfrB1	trimethoprim
P00384	trimethoprim__dfrB2	trimethoprim
P00484	chloramphenicol__catA	chloramphenicol
P00553	aminoglycoside__aph(3)-IV	aminoglycoside
P00808	beta-lactam__class A beta-lactamase	beta-lactam
P00809	beta-lactam__class A beta-lactamase	beta-lactam
P04190	beta-lactam__class A beta-lactamase	beta-lactam
P05193	beta-lactam__CMY-78	beta-lactam
P05364	beta-lactam__class C beta-lactamase	beta-lactam
P07287	macrolide-lincosamide-streptogramin__ermE	macrolide-lincosamide-streptogramin
P07944	beta-lactam__mecA	beta-lactam
P08457	aminoglycoside__streptothricin acetyltransferase	aminoglycoside
P09757	tetracycline__tetM	tetracycline
P0A0H1	macrolide-lincosamide-streptogramin__ermA	macrolide-lincosamide-streptogramin
P0A0U8	beta-lactam__penA	beta-lactam
P0A3Y6	aminoglycoside__aph(3)-III	aminoglycoside
P10425	beta-lactam__class A beta-lactamase	beta-lactam
P10952	tetracycline__tetO	tetracycline
P12055	aminoglycoside__streptomycin resistance protein	aminoglycoside
P12921	aminoglycoside__tunicamycin resistance protein	aminoglycoside
P13079	macrolide-lincosamide-streptogramin__ermH	macrolide-lincosamide-streptogramin
P13249	puromycin__puromycin resistance protein	puromycin
P13924	tetracycline__tetL	tetracycline
P13978	macrolide-lincosamide-streptogramin__ermC	macrolide-lincosamide-streptogramin
P14171	beta-lactam__class A beta-lactamase	beta-lactam
P14488	beta-lactam__class A beta-lactamase	beta-lactam
P14559	beta-lactam__class A beta-lactamase	beta-lactam
P14677	beta-lactam__PBP-2X	beta-lactam
P18539	beta-lactam__class C beta-lactamase	beta-lactam
P18623	aminoglycoside__viomycin phosphotransferase	aminoglycoside
P18644	unclassified__thiostrepton resistance methylase tsnR	unclassified
P20074	chloramphenicol__catA	chloramphenicol
P20174	tetracycline__tetO	tetracycline
P21598	tetracycline__tetM	tetracycline
P22390	beta-lactam__class A beta-lactamase	beta-lactam
P23835	tetracycline__tetO	tetracycline
P23895	multidrug__emrE	multidrug
P27422	trimethoprim__dfrA7	trimethoprim
P28018	beta-lactam__class A beta-lactamase	beta-lactam
P30896	beta-lactam__SHV-3	beta-lactam
P30897	beta-lactam__RTG-4	beta-lactam
P30898	beta-lactam__class A beta-lactamase	beta-lactam
P32714	multidrug__mdtP	multidrug
P32715	multidrug__mdtO	multidrug
P33449	multidrug__multidrug_transporter	multidrug
P33733	tetracycline__tetD	tetracycline
P33810	rifamycin__rifampin resistance protein	rifamycin
P37323	beta-lactam__SHV-4	beta-lactam
P39386	multidrug__mdtM	multidrug
P42332	bacitracin__bcrA	bacitracin
P42334	bacitracin__bcrC	bacitracin
P42670	puromycin__puromycin resistance protein	puromycin
P43433	unclassified__mycinamicin-resistance protein myrB	unclassified
P45438	macrolide-lincosamide-streptogramin__ermA	macrolide-lincosamide-streptogramin
P45439	macrolide-lincosamide-streptogramin__ermS	macrolide-lincosamide-streptogramin
P49856	multidrug__ykkC	multidrug
P49857	multidrug__ykkD	multidrug
P50870	macrolide-lincosamide-streptogramin__vatD	macrolide-lincosamide-streptogramin
